Fiscal Year,Company Name,Company Address,Municipality,County 1,State,Zip Code,Business Industry,NAICS Code,Minority/ Woman/ Veteran/ International Export,Contract Execution Date,Grant Amount,Loan Amount,Total Assistance ,Total Project Cost,Amount Leveraged,Funding Source,Statutory Reference,Per Contract: Full-Time CT Jobs to be Retained,Per Contract: Full-Time CT Jobs to be Created,Per Contract: Part-Time CT Jobs to be Retained,Per Contract: Part-Time CT Jobs to be Created,Actual Jobs at Time of Review,Job Obligation Status,Penalty (if applicable),Forgiveness Earned (if applicable),Per Application: Existing Full-Time Jobs in CT,Per Application: Full-Time Jobs to be Created in CT,Per Application: Existing Part-Time Jobs in CT,Per Application: Part Time Jobs to be Created in CT,Full-Time CT Employment at 6/30/20,Part-Time CT Employment at 6/30/20,Status,Location 1,Count,Geocoded Location,Planning Regions,Counties,Zip Code 2,Town Index
2012,"Suffield Village Dental, P.C.",215 Suffield Village,Suffield,Hartford,CT,06078,Service,621210,No,05/17/2012,25238.00,0.00,25238.00,50476.00,25238.00,Small Business Express Program,CGS Sec. 32-7g,0,1,0,0,9,Met,n/a,n/a,7,1,0,0,,,Active,215 Suffield Village,1,,,,,
2013,"Berkshire Concrete Cutting, LLC",3595 Winston Road,Torrington,Litchfield,CT,06790,Poured Concrete Foundation & Structure Contractors,238110,No,09/24/2012,100000.00,0.00,100000.00,200000.00,100000.00,Small Business Express Program,CGS Sec. 32-7g,2,0,0,0,10,Met,n/a,n/a,2,0,0,0,,,Active,3595 Winston Road,1,,,,,
2013,"Maritime Motors of Fairfield, Inc.",P.O. Box 118,Weare,,NH,03281,New Car Dealers,441110,No,08/01/2012,100000.00,0.00,100000.00,533000.00,433000.00,Small Business Express Program,CGS Sec. 32-7g,46,2,0,0,50,Met,n/a,n/a,46,2,0,0,,,Active,P.O. Box 118,1,,,,,
2014,"Green Power Solutions, Inc.",P.O. Box 501,Woodstock,Windham,CT,06281,Cleantech,238220,No,12/23/2013,0.00,100000.00,100000.00,100000.00,0.00,Small Business Express Program,CGS Sec. 32-7g,1,5,0,0,0,Not Met,from 2% to 3%,n/a,1,11,0,0,,,Active,P.O. Box 501,1,,,,,
2016,"Adam Equipment, Inc.",1 Fox Hollow Road,Danbury,Fairfield,CT,06810,Direct Sells Marketing,454390,No,11/10/2015,100000.00,300000.00,400000.00,2931476.00,2531476.00,Small Business Express Program,CGS Sec. 32-7g,17,5,0,0,22,Met,n/a,n/a,17,6,0,0,,,Active,1 Fox Hollow Road,1,"1 Fox Hollow Road
Danbury, CT 06810
(41.454075, -73.493025)",9,1040,45,91
2016,"Mediassociates, Inc.",75 Glen Road,Sandy Hook,Fairfield,CT,06482,Media Buying Agencies,541810,Yes Woman,08/17/2015,100000.00,0.00,100000.00,600000.00,500000.00,Small Business Express Program,CGS Sec. 32-7g,32,5,0,0,39,Met,n/a,n/a,32,5,0,0,,,Active,75 Glen Road,1,"75 Glen Road
Sandy Hook, CT 06482
(41.433036, -73.275251)",9,1040,152,97
2017,"Cabinet Specialties, LLC",38 Neal Court,Plainville,Hartford,CT,06062,Millwork/Cabinet Making,337110,No,09/08/2016,50000.00,0.00,50000.00,200000.00,150000.00,Small Business Express Program,CGS Sec. 32-7g,6,2,0,0,Pending,Pending,n/a,n/a,7,3,0,0,,,Active,38 Neal Court,1,"38 Neal Court
Plainville, CT 06062
(41.673412, -72.86546)",1,1041,260,110
2017,"Presstek, LLC",55 Executive Drive,Hudson,,NH,03051,Manufacturing,333244,No,03/27/2017,100000.00,0.00,100000.00,500000.00,400000.00,Small Business Express Program,CGS Sec. 32-7g,60,15,0,0,Pending,Met,n/a,n/a,0,90,0,0,,,Active,55 Executive Drive,1,"55 Executive Drive
Hudson, NH 03051
(42.741646, -71.435616)",,2442,,
2019,Infosys Limited,"One World Trade Center, Suite A, 79th Floor",New York,,NY,10007,Technology Services & Consulting,541511,No,01/24/2019,18000000.00,0.00,18000000.00,41064000.00,23064000.00,Manufacturing Assistance Act,CH 588l,780,200,0,0,Pending,Pending,n/a,n/a,780,200,0,0,980,,Active,"One World Trade Center, Suite A, 79th Floor",1,,,,,
2018,"Curtis Products, LLC",70 Halcyon Drive,Waterbury,New Haven,CT,06705,Precision Machining,332721,No,01/09/2018,100000.00,0.00,100000.00,259000.00,159000.00,Small Business Express Program,CGS Sec. 32-7g,15,8,0,0,Pending,Pending,n/a,n/a,15,8,2,5,20,0,Active,70 Halcyon Drive,1,,,,,
2019,"Indeed, Inc.",177 Broad Street,Stamford,Fairfield,CT,06901,Service Company,561311,No,04/25/2019,0.00,10000000.00,10000000.00,75000000.00,65000000.00,Manufacturing Assistance Act,CH 588l,1200,500,0,0,Pending,Pending,n/a,n/a,"1,200",500,0,0,"1,008",0,Active,177 Broad Street,1,"177 Broad Street
Stamford, CT 06901
(41.055505, -73.540815)",9,1040,203,135
