Company Name,County,City,Status,Program,Primary Funding Agreement,Award Date,Total Project Cost,Capital Investment,Direct Assistance Awarded,Tax Benefits Awarded,Projected Jobs - Created,Projected Jobs - Retained,Projected Jobs - Other,Projected Jobs - Total,Projected Qualifying Wage,Contracted Jobs - Created,Contracted Jobs - Retained,Contracted Jobs - Other Created,Contracted Jobs - Total,Contracted Qualifying Wage,City Coordinates
"Solum, Inc.",Story,Ames,Contract Terminated,130% Component,12-130-036,06/22/2012,4940000,2140000,100000,158000,25,0,0,25,21.25,25,0,0,25,21.25,POINT (-93.620181 42.026802)
Tactical 8 Technologies LLC,Black Hawk,Cedar Falls,Contract Terminated,100% Component,12-100-008,02/17/2012,435000,75000,45000,0,15,0,0,15,16.18,15,0,0,15,16.18,POINT (-92.4534 42.537809)
"Ralcorp Holdings, Inc.",Linn,Cedar Rapids,Contract Terminated,High Quality Jobs Program,15-HQJTC-062,06/19/2015,10000000,10000000,0,480000,0,33,0,33,23.45,0,33,0,0,23.45,POINT (-91.669808 41.978122)
"Siemens Power Generation, Inc.",Lee,Fort Madison,Declined or Rescinded,100% Component,11-100-002,07/15/2010,1350000,0,180000,0,16,0,0,16,15.63,16,0,0,16,15.63,POINT (-91.313494 40.630024)
Hagie Manufacturing Company,Wright,Clarion,Contract Terminated,High Quality Jobs Program,13-HQJDF-036,04/23/2013,22000000,19500000,850000,1150000,150,0,0,150,14.55,150,0,0,150,14.55,POINT (-93.732826 42.730761)
3M Company,Story,Ames,Contract Terminated,High Quality Jobs Program,19-HQJTC-007,09/21/2018,30185400,27835400,0,2144477,16,0,0,16,26.11,16,0,0,16,26.11,POINT (-93.620181 42.026802)
Nestle Purina PetCare Company,Clinton,Clinton,Declined or Rescinded,Value-Added Agriculture Component,11-VAAC-007,12/16/2010,73764000,68557000,500000,3580000,31,0,0,31,13.66,31,0,0,31,13.66,POINT (-90.190747 41.838935)
"Valley of the Moon Commercial Poults, Inc.",Decatur,Lamoni,Declined or Rescinded,Enterprise Zone,11-EZ-018,01/20/2011,17000000,17000000,0,2030000,11,0,22,33,10.56,11,0,22,33,10.56,POINT (-93.938951 40.623734)
"Berry Plastics, Inc.",Dubuque,Peosta,Contract Terminated,High Quality Jobs Program,11-HQJP-003,09/16/2010,8800000,8800000,0,266000,1,0,11,12,20.07,1,0,11,12,20.07,POINT (-90.850406 42.448829)
"Wave Reaction, Inc.",Dubuque,Dubuque,Declined or Rescinded,High Quality Jobs Program,17-HQJDF-056,05/19/2017,1980000,1870000,45000,79300,12,0,8,20,21.18,12,0,8,20,21.18,POINT (-90.667314 42.505512)
"Hamburg, City of",Fremont,Hamburg,Declined or Rescinded,Grow Iowa Value Fund Infrastructure Component,12-IFC-002,06/22/2012,5600000,4400000,500000,0,0,0,0,0,0.00,0,0,0,0,0.00,POINT (-95.655095 40.603787)
"Prestage Foods of Iowa, LLC",Cerro Gordo,Mason City,Declined or Rescinded,High Quality Jobs Program,16-HQJTC-042,03/29/2016,240000000,239250000,0,11480250,332,0,590,922,15.79,332,0,590,922,15.79,POINT (-93.201042 43.153621)
"Putco, Inc.",Polk,Des Moines,Declined or Rescinded,High Quality Jobs Program,12-HQJP-061,06/22/2012,6500000,6000000,0,304000,5,0,0,5,23.75,5,0,0,5,23.75,POINT (-93.620309 41.588822)
"Harvest BioFuels Galbraith, LLC",Kossuth,Lu Verne,Contract Terminated,High Quality Jobs Program,07-HQJC-033,02/15/2007,185000000,164800000,0,12102500,45,0,0,45,20.05,0,0,45,45,20.05,POINT (-94.079328 42.909093)
Phoenix Closures,Scott,Davenport,Declined or Rescinded,High Quality Jobs Program,11-HQJP-028,03/17/2011,30570680,23177680,0,700000,19,0,49,68,22.07,19,0,49,68,22.07,POINT (-90.577036 41.523527)
"Hawthorne Direct, LLC",Jefferson,Fairfield,Contract Terminated,High Quality Jobs Program,17-HQJDF-003,07/22/2016,2301000,385000,75000,45000,15,0,0,15,15.93,15,0,0,15,15.93,POINT (-91.965049 41.006634)
"Cedar River Poultry, LLC",Floyd,Charles City,Declined or Rescinded,Enterprise Zone,12-EZ-006,10/20/2011,916308,916308,0,114620,26,0,114,140,13.79,26,0,114,140,13.79,POINT (-92.672524 43.066415)
"Chamness Biodegradables, LLC",Polk,Ankeny,Declined or Rescinded,High Quality Jobs Program,19-HQJTC-001,07/20/2018,1877100,601000,140000,72730,21,0,15,36,29.12,21,0,15,36,29.12,POINT (-93.600414 41.72508)
"Dickten Masch Plastics, LLC",Polk,Ankeny,Contract Terminated,High Quality Jobs Program,14-HQJTC-033,04/18/2014,5310000,4460000,0,160050,6,0,24,30,24.32,6,0,24,30,24.32,POINT (-93.600414 41.72508)
Danisco US Inc. (formerly DDCE),Story,Nevada,Contract Terminated,Value-Added Agriculture Component,11-VAAC-005,10/21/2010,0,0,5000000,3538498,60,2,0,62,20.84,60,0,0,60,20.84,POINT (-93.452278 42.019648)
"Tyson Fresh Meats, Inc.",Pottawattamie,Council Bluffs,Declined or Rescinded,Enterprise Zone,14-EZ-005,03/28/2014,10000000,9518763,0,951876,22,0,117,139,14.81,22,0,117,139,14.81,POINT (-95.85436 41.258963)
"Wilian Holding Company and Transform, Ltd",Polk,Des Moines,Contract Terminated,High Quality Jobs Program,16-HQJTC-024,11/20/2015,11275000,11025000,0,1283750,40,88,0,128,26.72,40,88,0,128,26.72,POINT (-93.620309 41.588822)
3M Company,Story,Ames,Contract Terminated,High Quality Jobs Program,13-HQJTC-026,01/18/2013,28997100,24497100,0,1286500,63,0,0,63,20.81,63,0,12,75,20.81,POINT (-93.620181 42.026802)
Hewlett-Packard Company,Polk,Des Moines,Contract Terminated,130% Component,11-130-023,01/20/2011,16700000,16700000,600000,465000,10,62,140,212,23.20,10,62,140,212,23.20,POINT (-93.620309 41.588822)
"Blackhawk Engineering, Inc.",Black Hawk,Cedar Falls,Contract Terminated,High Quality Jobs Program,13-HQJTC-041,05/17/2013,3560000,3560000,0,137000,4,0,12,16,18.25,4,0,12,16,18.25,POINT (-92.4534 42.537809)
"Vertex Software,LLC",Story,Ames,Declined or Rescinded,High Quality Jobs Program,19-HQJDF-006,02/22/2019,32100000,1600000,1500000,1925000,300,0,0,300,26.11,300,0,0,300,26.11,POINT (-93.620181 42.026802)
"Grain Millers, Inc.",Mitchell,St. Ansgar,Declined or Rescinded,Value-Added Agriculture Component,11-VAAC-003,09/16/2010,10000000,10000000,200000,290000,1,0,0,1,19.81,1,0,0,1,19.81,POINT (-92.919105 43.378505)
