Company Name,County,City,Status,Program,Primary Funding Agreement,Award Date,Total Project Cost,Capital Investment,Direct Assistance Awarded,Tax Benefits Awarded,Projected Jobs - Created,Projected Jobs - Retained,Projected Jobs - Other,Projected Jobs - Total,Projected Qualifying Wage,Contracted Jobs - Created,Contracted Jobs - Retained,Contracted Jobs - Other Created,Contracted Jobs - Total,Contracted Qualifying Wage,Verified Total Project Cost,Project Completion Date,Final Jobs - Created,Final Jobs - Retained,Final Jobs - Other Created,Final Jobs - Total,Project Maintenance Date,City Coordinates
"DHI Group Inc. (f/k/a Dice Career Solutions, Inc.)",Polk,Urbandale,Closed Contracts - Successful,130% Component,11-130-015,11/18/2010,1750000,1750000,225000,0,16,154,0,170,23.20,16,90,0,106,23.20,5127664.00,11/30/2013,16,90,0,106,11/30/2015,POINT (-93.736522 41.630343)
Wacker Chemical Corporation,Monroe,Eddyville,Closed Contracts - Successful,130% Component,12-130-012,11/18/2011,7706860,7706860,150000,344047,3,13,0,16,21.36,3,13,0,16,21.36,7746970.00,11/30/2014,3,13,0,16,11/30/2016,POINT (-92.630188 41.158178)
"Environmental Lubricants Manufacturing, Inc.",Grundy,Grundy Center,Closed Contracts - Full,Value-Added Agriculture Component,11-VAAC-013,05/19/2011,415000,415000,60000,0,0,0,0,0,0.00,0,0,0,0,0.00,0.00,06/30/2017,0,0,0,0,06/30/2019,POINT (-92.768301 42.361475)
McKesson Corporation,Cerro Gordo,Clear Lake,Closed Contracts - Successful,High Quality Jobs Program,15-HQJDF-034,02/20/2015,65242000,65242000,170000,4200000,164,0,0,164,14.79,164,0,0,164,14.79,70955084.00,02/28/2018,164,0,0,164,02/28/2020,POINT (-93.378746 43.137357)
"Peregrine Financial Group, Inc.",Black Hawk,Cedar Falls,Bankruptcy,Community Economic Betterment Account,07-CEBA-044,06/13/2007,13030000,11650000,350000,893063,41,0,12,53,21.38,0,1,89,90,21.38,0.00,06/30/2010,0,0,0,0,06/30/2012,POINT (-92.4534 42.537809)
"Valley of the Moon Commercial Poults, Inc.",Clarke,Osceola,Closed Contracts - Successful,Enterprise Zone,11-EZ-025,02/17/2011,17000000,17000000,0,1994744,11,0,22,33,11.98,11,0,22,33,11.98,21386025.00,02/28/2014,11,0,22,33,02/28/2016,POINT (-93.777005 41.030524)
"Rousselot Dubuque, Inc.",Dubuque,Dubuque,Closed Contracts - Successful,Enterprise Zone,13-EZ-001,08/17/2012,16300000,16300000,0,165562,10,0,0,10,14.48,10,0,0,10,14.48,20295576.00,12/31/2016,10,0,0,10,12/31/2018,POINT (-90.667314 42.505512)
"Transco Railway Products, Inc.",Fayette,Oelwein,Closed Contracts - Successful,Enterprise Zone,12-EZ-001,07/21/2011,1657000,1630000,0,184155,10,0,0,10,12.15,10,0,0,10,12.15,1327427.00,07/31/2014,10,0,0,10,07/31/2016,POINT (-91.911989 42.678527)
Delta Dental of Iowa,Polk,Urbandale,Closed Contracts - Successful,High Quality Jobs Program,14-HQJTC-036,04/18/2014,9395000,9395000,0,251250,12,0,3,15,24.32,12,0,3,15,24.32,8361698.00,04/30/2017,12,0,3,15,04/30/2019,POINT (-93.736522 41.630343)
"Bay TSP, Inc.",Polk,Des Moines,Closed Contracts - Full,Community Economic Betterment Account,05-CEBA-020,12/16/2004,4930000,1430000,800000,0,75,0,0,75,22.51,75,0,0,75,22.51,0.00,11/30/2007,0,0,0,0,01/29/2008,POINT (-93.620309 41.588822)
